title,release_year,locations,fun_facts,production_company,distributor,director,writer,actor_1,actor_2,actor_3,state,city,point,supervisor_district,data_loaded_at,analysis_neighborhood,longitude,data_as_of,latitude
It Came From Beneath the Sea,1955,Hunters Point,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Clover Productions,Columbia Pictures,Robert Gordon,George Worthing Yates,Kenneth Tobey,Faith Domergue,Donald Curtis,CA,San Francisco,POINT (-122.3931774 37.7277164),10,2024-12-18T14:30:38.000,Bayview Hunters Point,-122.3931774,2024-12-06T12:17:47.000,37.7277164
Joy Luck Club,1993,Hang Ah Alley (Chinatown),,Hollywood Pictures,National Broadcasting Company (NBC),Wayne Wang,Amy Tan,Kieu Chinh,Tsai Chin,France Nuyen,CA,San Francisco,POINT (-122.4074756 37.7937631),3,2024-12-18T14:30:38.000,Chinatown,-122.4074756,2024-12-06T12:17:47.000,37.7937631
Romeo Must Die,2000,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Silver Pictures,Warner Bros. Pictures,Andrzej Bartkowiak,Mitchell Kapner,Jet Li,Aaliyah,,CA,San Francisco,POINT (-122.4048082 37.7944675),3,2024-12-18T14:30:38.000,Chinatown,-122.4048082,2024-12-06T12:17:47.000,37.7944675
Ant-Man,2015,Grant between Bush and Broadway,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari,Michael Douglas,Paul Rudd,,CA,San Francisco,POINT (-122.4096207 37.7897897),3,2024-12-18T14:30:38.000,Nob Hill,-122.4096207,2024-12-06T12:17:47.000,37.7897897
A View to a Kill,1985,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)","This is SF's only drawbridge, and was named after Francis Joseph ""Lefty"" O'Doul, a local baseball hero.",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,CA,San Francisco,POINT (-122.3902572 37.7768525),6,2024-12-18T14:30:38.000,Mission Bay,-122.3902572,2024-12-06T12:17:47.000,37.7768525
Time After Time,1979,Lombard & Laguna Streets (Marina District),,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner,CA,San Francisco,POINT (-122.4311494 37.8005305),2,2024-12-18T14:30:38.000,Marina,-122.4311494,2024-12-06T12:17:47.000,37.8005305
Venom,2018,Taylor St Hill btwn Pacific and Greenwich,,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,CA,San Francisco,POINT (-122.41347 37.79603),3,2024-12-18T14:30:38.000,Nob Hill,-122.41347,2024-12-06T12:17:47.000,37.79603
Chance Season 2,2017,Haight between Central and Ashbury St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,CA,San Francisco,POINT (-122.4453615 37.7702175),5,2024-12-18T14:30:38.000,Haight Ashbury,-122.4453615,2024-12-06T12:17:47.000,37.7702175
When We Rise,2017,"Harvey Milk Plaza, 17th and Castro",,Film 49 Productions,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams,CA,San Francisco,POINT (-122.4354137 37.7624058),8,2024-12-18T14:30:38.000,Castro/Upper Market,-122.4354137,2024-12-06T12:17:47.000,37.7624058
Blue Jasmine,2013,790 Ulloa,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,CA,San Francisco,POINT (-122.4647031 37.7408365),7,2024-12-18T14:30:38.000,West of Twin Peaks,-122.4647031,2024-12-06T12:17:47.000,37.7408365
The Wedding Planner,2001,Pleasant Street at Taylor,,Columbia Pictures,Sony Pictures Entertainment,Adam Shankman,Pamela Falk,Jennifer Lopez,Matthew McConaughey,,CA,San Francisco,POINT (-122.4114139 37.7856667),5,2024-12-18T14:30:38.000,Tenderloin,-122.4114139,2024-12-06T12:17:47.000,37.7856667
Ant-Man,2015,Intersection of Broadway at Kearney,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari,Michael Douglas,Paul Rudd,,CA,San Francisco,POINT (-122.4044021 37.7929164),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.4044021,2024-12-06T12:17:47.000,37.7929164
Terminator - Genisys,2015,Market at Mason,,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,CA,San Francisco,POINT (-122.409079 37.7832138),6,2024-12-18T14:30:38.000,South of Market,-122.409079,2024-12-06T12:17:47.000,37.7832138
Nine Months,1995,Wasteland Store (1600 Haight Street),,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Robin Williams,CA,San Francisco,POINT (-122.44878 37.7698924),5,2024-12-18T14:30:38.000,Haight Ashbury,-122.44878,2024-12-06T12:17:47.000,37.7698924
Big Eyes,2014,Saints Peter & Paul Church,,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,CA,San Francisco,POINT (-122.4101623 37.8014041),3,2024-12-18T14:30:38.000,North Beach,-122.4101623,2024-12-06T12:17:47.000,37.8014041
Summertime,2015,Turk St between Lyon and Baker St,,"Creative Monster Productions, Inc.",4 Distribution,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz,CA,San Francisco,POINT (-122.4436682 37.7791695),2,2024-12-18T14:30:38.000,Lone Mountain/USF,-122.4436682,2024-12-06T12:17:47.000,37.7791695
Chan is Missing,1982,"Li Po (916 Grant Avenue at Washington, Chinatown)",,New Yorker Films,New Yorker Films,Wayne Wang,Wayne Wang,Wood Moy,Marc Hayashi,Lauren Chew,CA,San Francisco,POINT (-122.4064344 37.7954238),3,2024-12-18T14:30:38.000,Chinatown,-122.4064344,2024-12-06T12:17:47.000,37.7954238
Jagged Edge,1985,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Columbia Pictures Corp.,Columbia Pictures,Richard Marquand,Joe Eszterhas,Glenn Close,Jeff Bridges,Peter Coyote,CA,San Francisco,POINT (-122.4192417 37.779275),5,2024-12-18T14:30:38.000,Tenderloin,-122.4192417,2024-12-06T12:17:47.000,37.779275
Shit and Champagne,2020,Green at Jones St,,"Shaboom Boom, LLC",,D'Arcy Drollinger,D'Arcy Drollinger,D'Arcy Drollinger,Matthew Martin,Steven LeMay,CA,San Francisco,POINT (-122.412987 37.787177),3,2024-12-18T14:30:38.000,Tenderloin,-122.412987,2024-12-06T12:17:47.000,37.787177
The Game,1997,Presidio (Golden Gate National Recreation Area),"In 1776, Spain made the Presidio a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use.",Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Deborah Kara Unger,CA,San Francisco,POINT (-122.4810057 37.7923841),2,2024-12-18T14:30:38.000,Presidio,-122.4810057,2024-12-06T12:17:47.000,37.7923841
Freebie and the Bean,1974,Stockton Tunnel (Stockton Street at Sutter Street),"Opened in 1914, the Stockton Tunnel was built to provide North Beach residents access to the thriving downtown area.",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,CA,San Francisco,POINT (-122.4076596 37.7927749),3,2024-12-18T14:30:38.000,Chinatown,-122.4076596,2024-12-06T12:17:47.000,37.7927749
Invasion of the Body Snatchers,1978,Lafayette Park (Pacific Heights),,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams,CA,San Francisco,POINT (-122.4275889 37.79165),2,2024-12-18T14:30:38.000,Pacific Heights,-122.4275889,2024-12-06T12:17:47.000,37.79165
The Game,1997,"Stockton Tunnel Southern Approach Overhang (Bush & Stockton Streets, Chinatown)","Opened in 1914, the Stockton Tunnel was built to provide North Beach residents access to the thriving downtown area.",Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Deborah Kara Unger,CA,San Francisco,POINT (-122.4069884 37.7900488),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.4069884,2024-12-06T12:17:47.000,37.7900488
Hulk,2003,Treasure Island,"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Universal Pictures,Universal Pictures,Ang Lee,Stan Lee,Eric Bana,Jennifer Connelly,,CA,San Francisco,POINT (-122.3699786 37.825284),6,2024-12-18T14:30:38.000,Treasure Island,-122.3699786,2024-12-06T12:17:47.000,37.825284
Women is Losers,2020,1080 Capp St,,Look at the Moon Pictures,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil,CA,San Francisco,POINT (-122.417322 37.7495114),9,2024-12-18T14:30:38.000,Mission,-122.417322,2024-12-06T12:17:47.000,37.7495114
Looking Season 2 ep 203,2015,770 Haight Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.43489 37.771831),5,2024-12-18T14:30:38.000,Haight Ashbury,-122.43489,2024-12-06T12:17:47.000,37.771831
GirlBoss,2017,"Boulevard Restaurant, 1 Mission St.",,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,CA,San Francisco,POINT (-122.392975 37.7932194),6,2024-12-18T14:30:38.000,Financial District/South Beach,-122.392975,2024-12-06T12:17:47.000,37.7932194
So I Married an Axe Murderer,1993,Swedenborgian Church (2107 Lyon Street),,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,CA,San Francisco,POINT (-122.4462612 37.7904089),2,2024-12-18T14:30:38.000,Presidio Heights,-122.4462612,2024-12-06T12:17:47.000,37.7904089
San Andreas,2015,"Vallejo St. Garage, 766 Vallejo St.",Characters watch from roof of garage as tsunami hits SF waterfront,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb,Dwayne Johnson,,,CA,San Francisco,POINT (-122.4099386 37.7987411),3,2024-12-18T14:30:38.000,Chinatown,-122.4099386,2024-12-06T12:17:47.000,37.7987411
The OA Part II,2019,Washington btwn Gough and Octavia St,,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,CA,San Francisco,POINT (-122.4261279 37.7909216),2,2024-12-18T14:30:38.000,Pacific Heights,-122.4261279,2024-12-06T12:17:47.000,37.7909216
Tales of the City,2019,Castro and 18th St,,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett,CA,San Francisco,POINT (-122.435038 37.7608968),8,2024-12-18T14:30:38.000,Castro/Upper Market,-122.435038,2024-12-06T12:17:47.000,37.7608968
Twisted,2004,Vesuvio Café (255 Columbus Avenue),Jack Kerouac was a regular at the café.,Paramount Pictures,Paramount Pictures,Philip Kaufman,Sarah Thorp,Ashley Judd,Samuel L. Jackson,,CA,San Francisco,POINT (-122.4065082 37.7974835),3,2024-12-18T14:30:38.000,Chinatown,-122.4065082,2024-12-06T12:17:47.000,37.7974835
My Big Fat Chinese Christmas,2022,Pier 15 San Francisco,,Hongbao Productions,Hallmark Channel,Jennifer Liao,"Blaine Chiappetta ,Marguerite Henry, Justine Wentzell-Chang",Shannon Chan-Kent,Shannon Kook,Tia Carrere,CA,San Francisco,POINT (-122.398049 37.8015729),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.398049,2024-12-06T12:17:47.000,37.8015729
Beautiful Boy,2018,18th St at San Bruno Ave.,,Big Indie Pictures,Amazon Studios,Felix van Groeningen,Luke Davies,Steve Carell,Timothee Chalamet,Maura Tierney,CA,San Francisco,POINT (-122.4052356 37.7620145),10,2024-12-18T14:30:38.000,Potrero Hill,-122.4052356,2024-12-06T12:17:47.000,37.7620145
Pleasure of His Company,1961,Grace Cathedral Episcopal Church (1100 California Street),Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Perlsea Company,Paramount Pictures,George Seaton,Samuel A. Taylor,Fred Astaire,Debbie Reynolds,Lilli Palmer,CA,San Francisco,POINT (-122.4133739 37.7918593),3,2024-12-18T14:30:38.000,Nob Hill,-122.4133739,2024-12-06T12:17:47.000,37.7918593
"Murder in the First, Season 3",2016,Civic Center Plaza,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.4176986 37.7794929),5,2024-12-18T14:30:38.000,Tenderloin,-122.4176986,2024-12-06T12:17:47.000,37.7794929
"Looking ""Special""",2016,17th & Market Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.435469 37.7625245),8,2024-12-18T14:30:38.000,Castro/Upper Market,-122.435469,2024-12-06T12:17:47.000,37.7625245
D.O.A,1950,Southern Pacific Memorial Hospital (1400 Fell Street),,Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,Edmond O'Brien,Pamela Britton,Luther Adler,CA,San Francisco,POINT (-122.4415459 37.7737251),5,2024-12-18T14:30:38.000,Lone Mountain/USF,-122.4415459,2024-12-06T12:17:47.000,37.7737251
"Murder in the First, Season 3",2016,Red's Java House (Pier 30),,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.3874201 37.7872065),6,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3874201,2024-12-06T12:17:47.000,37.7872065
Patty Hearst,1988,"Postcard Row (Alamo Square, Hayes Valley)",The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,Atlantic Entertainment Group,Atlantic Releasing Corporation,Paul Schrader,Nicholas Kazan,Natasha Richardson,William Forsythe,Ving Rhames,CA,San Francisco,POINT (-122.4327231 37.7760676),5,2024-12-18T14:30:38.000,Hayes Valley,-122.4327231,2024-12-06T12:17:47.000,37.7760676
Junior,1994,2552 Hyde Street,,Northern Lights Entertainment,Universal Pictures,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,Danny DeVito,Emma Thompson,CA,San Francisco,POINT (-122.4199372 37.8045625),3,2024-12-18T14:30:38.000,Russian Hill,-122.4199372,2024-12-06T12:17:47.000,37.8045625
Freebie and the Bean,1974,Nob Hill,"Railroad tycoons like Leland Stanford (founder of Stanford University) lived in Nob Hill at the turn of the 20th Century. The 1906 earthquake completely destroyed Nob Hill, with the exception of the wall that surrounded the mansions of Stanford and his neighbor Mark Hopkins.",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,CA,San Francisco,POINT (-122.4174229 37.7910067),3,2024-12-18T14:30:38.000,Nob Hill,-122.4174229,2024-12-06T12:17:47.000,37.7910067
The Last Black Man in San Francisco,2019,Buena Vista East btwn Duboce and Haight,,"LBMISF, LLC",A24,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,CA,San Francisco,POINT (-122.4431784 37.7703713),8,2024-12-18T14:30:38.000,Haight Ashbury,-122.4431784,2024-12-06T12:17:47.000,37.7703713
The Diary of a Teenage Girl,2015,700 Kansas St.,,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,CA,San Francisco,POINT (-122.403488 37.7607559),10,2024-12-18T14:30:38.000,Potrero Hill,-122.403488,2024-12-06T12:17:47.000,37.7607559
Goliath- Season 4,2021,California and Mason,,"Picrow, Inc.",Amazon Studios,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen","David E. Kelley, Jonathan Shapiro",Billy Bob Thornton,Nina Arianda,Tania Raymonde,CA,San Francisco,POINT (-122.4108465 37.7918448),3,2024-12-18T14:30:38.000,Nob Hill,-122.4108465,2024-12-06T12:17:47.000,37.7918448
When We Rise,2017,"Twin Peaks Bar, 401 Castro",,Film 49 Productions,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams,CA,San Francisco,POINT (-122.4350194 37.7623472),8,2024-12-18T14:30:38.000,Castro/Upper Market,-122.4350194,2024-12-06T12:17:47.000,37.7623472
The Last Black Man in San Francisco,2019,California St and Gough btwn Geary and Jones,,"LBMISF, LLC",A24,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,CA,San Francisco,POINT (-122.4252817 37.78549),2,2024-12-18T14:30:38.000,Japantown,-122.4252817,2024-12-06T12:17:47.000,37.78549
Pushing Dead,2016,"Infield Batting Cages, 1888 Clement Street",,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,CA,San Francisco,POINT (-122.4792811 37.7825309),1,2024-12-18T14:30:38.000,Outer Richmond,-122.4792811,2024-12-06T12:17:47.000,37.7825309
DEVS,2020,Bernal Heights Park,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,CA,San Francisco,POINT (-122.4126216 37.7422467),9,2024-12-18T14:30:38.000,Bernal Heights,-122.4126216,2024-12-06T12:17:47.000,37.7422467
Invasion of the Body Snatchers,1978,Hamlin Hotel (385 Eddy Street),,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams,CA,San Francisco,POINT (-122.4138875 37.7835785),5,2024-12-18T14:30:38.000,Tenderloin,-122.4138875,2024-12-06T12:17:47.000,37.7835785
Dirty Harry,1971,San Francisco Drydock (20th and Illinois Streets),,The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,,CA,San Francisco,POINT (-122.3866097 37.760628),10,2024-12-18T14:30:38.000,Potrero Hill,-122.3866097,2024-12-06T12:17:47.000,37.760628
Terminator - Genisys,2015,Sutter Stockton Garage,,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,CA,San Francisco,POINT (-122.4066034 37.7901055),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.4066034,2024-12-06T12:17:47.000,37.7901055
The Competition,1980,California Academy of Sciences (Golden Gate Park),"Founded in 1853, 3 years after California joined the United States, the Academy was originally named the California Academy of Natural Sciences and was the first institution of its kind in the United States.",Columbia Pictures Corporation,American Broadcasting Company (ABC),Joel Oliansky,Joel Oliansky,Richard Dreyfuss,Amy Irving,Lee Remick,CA,San Francisco,POINT (-122.4660947 37.7698646),7,2024-12-18T14:30:38.000,Golden Gate Park,-122.4660947,2024-12-06T12:17:47.000,37.7698646
Golden Gate,1994,University of California Hastings College of the Law,,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,David Henry Hwang,Matt Dillon,Joan Chen,,CA,San Francisco,POINT (-122.4157619 37.7811225),5,2024-12-18T14:30:38.000,Tenderloin,-122.4157619,2024-12-06T12:17:47.000,37.7811225
D.O.A,1950,Westin St. Francis Hotel (335 Powell Street),"The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels.",Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,Edmond O'Brien,Pamela Britton,Luther Adler,CA,San Francisco,POINT (-122.4087206 37.7877854),3,2024-12-18T14:30:38.000,Tenderloin,-122.4087206,2024-12-06T12:17:47.000,37.7877854
The OA Part II,2019,Taylor St btwn Green and Broadway,,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,CA,San Francisco,POINT (-122.4114139 37.7856667),5,2024-12-18T14:30:38.000,Tenderloin,-122.4114139,2024-12-06T12:17:47.000,37.7856667
Psych-Out,1968,,,Dick Clark Productions,American International Pictures (AIP),Richard Rush,Betty Tusher,Jack Nicholson,Susan Strasberg,Dean Stockwell,CA,San Francisco,,,2024-12-18T14:30:38.000,,,2024-12-06T12:17:47.000,
